dt,value,name
2023-01-07 16:38:55.955977,1181.0,python_petersburg_and_others
2023-01-08 12:00:39.887880,1183.0,python_petersburg_and_others
2023-01-09 12:00:43.358984,1200.0,python_petersburg_and_others
2023-01-10 12:00:40.402427,1235.0,python_petersburg_and_others
2023-01-11 12:00:40.872412,1312.0,python_petersburg_and_others
2023-01-12 12:00:41.285750,1349.0,python_petersburg_and_others
2023-01-13 12:00:41.715534,1339.0,python_petersburg_and_others
2023-01-14 12:00:39.943447,1338.0,python_petersburg_and_others
2023-01-15 12:00:39.603005,1309.0,python_petersburg_and_others
2023-01-16 12:00:40.266073,1308.0,python_petersburg_and_others
2023-01-17 12:00:40.949247,1357.0,python_petersburg_and_others
2023-01-18 12:00:40.111844,1401.0,python_petersburg_and_others
2023-01-19 12:00:41.007276,1353.0,python_petersburg_and_others
2023-01-20 12:00:40.937856,1477.0,python_petersburg_and_others
2023-01-21 08:20:45.177668,1497.0,python_petersburg_and_others
2023-01-21 08:20:47.468765,1223.0,python_petersburg
2023-01-21 09:20:51.110220,1497.0,python_petersburg_and_others
2023-01-21 09:20:53.004232,1224.0,python_petersburg
2023-01-21 14:45:52.743758,1489.0,python_petersburg_and_others
2023-01-21 14:45:54.806544,1217.0,python_petersburg
2023-01-21 15:45:42.691770,1481.0,python_petersburg_and_others
2023-01-21 15:45:49.088383,1210.0,python_petersburg
2023-01-21 15:51:12.372190,1436.0,python_petersburg_and_others
2023-01-21 15:51:13.398648,1210.0,python_petersburg
2023-01-21 16:39:22.708634,1480.0,python_petersburg_and_others
2023-01-21 16:39:23.691888,1169.0,python_petersburg
2023-01-21 16:49:34.554917,1480.0,python_petersburg_and_others
2023-01-21 16:49:35.554635,1209.0,python_petersburg
2023-01-21 16:53:44.504504,1436.0,python_petersburg_and_others
2023-01-21 16:53:45.430198,1209.0,python_petersburg
2023-01-22 12:00:39.770221,1472.0,python_petersburg_and_others
2023-01-22 12:00:40.783651,1201.0,python_petersburg
2023-01-23 12:00:40.800747,1471.0,python_petersburg_and_others
2023-01-23 12:00:41.935460,1203.0,python_petersburg
2023-01-24 12:00:41.311902,1489.0,python_petersburg_and_others
2023-01-24 12:00:42.497666,1217.0,python_petersburg
2023-01-25 12:00:40.698307,1501.0,python_petersburg_and_others
2023-01-25 12:00:41.793345,1241.0,python_petersburg
2023-01-26 12:00:41.373842,1516.0,python_petersburg_and_others
2023-01-26 12:00:42.692401,1245.0,python_petersburg
2023-01-27 12:00:40.389032,1527.0,python_petersburg_and_others
2023-01-27 12:00:41.470906,1252.0,python_petersburg
2023-01-28 12:00:39.967511,1532.0,python_petersburg_and_others
2023-01-28 12:00:41.096334,1258.0,python_petersburg
2023-01-29 12:00:40.491435,1516.0,python_petersburg_and_others
2023-01-29 12:00:41.524440,1248.0,python_petersburg
2023-01-30 12:00:41.552191,1534.0,python_petersburg_and_others
2023-01-30 12:00:42.741662,1262.0,python_petersburg
2023-01-31 09:09:05.583791,1542.0,python_petersburg_and_others
2023-01-31 09:09:07.201179,1270.0,python_petersburg
2023-01-31 09:53:23.889244,1544.0,python_petersburg_and_others
2023-01-31 09:53:25.360825,1271.0,python_petersburg
2023-01-31 09:58:41.891212,1544.0,python_petersburg_and_others
2023-01-31 09:58:43.249591,1272.0,python_petersburg
2023-01-31 12:00:40.732639,1548.0,python_petersburg_and_others
2023-01-31 12:00:41.780672,1274.0,python_petersburg
2023-02-01 12:00:40.334071,1570.0,python_petersburg_and_others
2023-02-01 12:00:41.592218,1285.0,python_petersburg
2023-02-02 12:00:41.174381,1603.0,python_petersburg_and_others
2023-02-02 12:00:42.502158,1310.0,python_petersburg
2023-02-03 12:00:41.003023,1606.0,python_petersburg_and_others
2023-02-03 12:00:42.898564,1321.0,python_petersburg
2023-02-04 12:00:40.359237,1614.0,python_petersburg_and_others
2023-02-04 12:00:41.472099,1329.0,python_petersburg
2023-02-04 12:01:45.296351,1614.0,python_petersburg_and_others
2023-02-04 12:01:46.341158,1329.0,python_petersburg
2023-02-04 12:03:48.944267,1614.0,python_petersburg_and_others
2023-02-04 12:03:49.836467,1329.0,python_petersburg
2023-02-05 12:00:41.425404,1592.0,python_petersburg_and_others
2023-02-05 12:00:42.594506,1311.0,python_petersburg
2023-02-05 12:01:41.102751,1592.0,python_petersburg_and_others
2023-02-05 12:01:42.061855,1311.0,python_petersburg
2023-02-05 12:03:35.368002,1592.0,python_petersburg_and_others
2023-02-05 12:03:36.233876,1311.0,python_petersburg
2023-02-06 12:00:40.751380,1590.0,python_petersburg_and_others
2023-02-06 12:00:41.919297,1312.0,python_petersburg
2023-02-06 12:01:44.652979,1590.0,python_petersburg_and_others
2023-02-06 12:01:46.113639,1312.0,python_petersburg
2023-02-06 12:03:49.019887,1590.0,python_petersburg_and_others
2023-02-06 12:03:50.199285,1312.0,python_petersburg
2023-02-07 12:00:40.556792,1601.0,python_petersburg_and_others
2023-02-07 12:00:41.917335,1325.0,python_petersburg
2023-02-07 12:01:40.592978,1601.0,python_petersburg_and_others
2023-02-07 12:01:41.834473,1325.0,python_petersburg
2023-02-07 12:03:52.796341,1601.0,python_petersburg_and_others
2023-02-07 12:03:54.350009,1325.0,python_petersburg
2023-02-08 12:00:40.418080,1589.0,python_petersburg_and_others
2023-02-08 12:00:41.712065,1316.0,python_petersburg
2023-02-08 12:01:39.277830,1589.0,python_petersburg_and_others
2023-02-08 12:01:40.561949,1316.0,python_petersburg
2023-02-08 12:03:38.958242,1589.0,python_petersburg_and_others
2023-02-08 12:03:40.317301,1316.0,python_petersburg
2023-02-09 12:00:41.040628,1567.0,python_petersburg_and_others
2023-02-09 12:00:42.844329,1302.0,python_petersburg
2023-02-09 12:01:48.852866,1567.0,python_petersburg_and_others
2023-02-09 12:01:50.133752,1302.0,python_petersburg
2023-02-09 12:04:01.659975,1568.0,python_petersburg_and_others
2023-02-09 12:04:03.269625,1303.0,python_petersburg
2023-02-10 12:00:41.046140,1561.0,python_petersburg_and_others
2023-02-10 12:00:42.280114,1296.0,python_petersburg
2023-02-10 12:01:43.013224,1561.0,python_petersburg_and_others
2023-02-10 12:01:44.098492,1296.0,python_petersburg
2023-02-10 12:03:34.636396,1561.0,python_petersburg_and_others
2023-02-10 12:03:35.718824,1296.0,python_petersburg
2023-02-10 22:44:07.509205,1570.0,python_petersburg_and_others
2023-02-10 22:44:08.461988,1299.0,python_petersburg
2023-02-11 09:04:48.816182,1567.0,python_petersburg_and_others
2023-02-11 09:04:49.902791,1297.0,python_petersburg
2023-02-11 09:06:58.426109,1567.0,python_petersburg_and_others
2023-02-11 09:06:59.684311,1297.0,python_petersburg
2023-02-11 09:27:07.986956,1564.0,python_petersburg_and_others
2023-02-11 09:27:10.687674,1294.0,python_petersburg
2023-02-11 09:28:32.480149,1564.0,python_petersburg_and_others
2023-02-11 09:28:35.162082,1294.0,python_petersburg
2023-02-11 09:31:42.524274,1564.0,python_petersburg_and_others
2023-02-11 09:31:43.598815,1294.0,python_petersburg
2023-02-11 09:35:11.940367,1564.0,python_petersburg_and_others
2023-02-11 09:35:13.029798,1294.0,python_petersburg
2023-02-11 10:44:41.098856,1559.0,python_petersburg_and_others
2023-02-11 10:44:43.640855,1290.0,python_petersburg
2023-02-11 10:48:22.818126,1559.0,python_petersburg_and_others
2023-02-11 10:48:25.262747,1290.0,python_petersburg
2023-02-11 10:48:36.561224,1559.0,python_petersburg_and_others
2023-02-11 10:48:38.931953,1290.0,python_petersburg
2023-02-11 10:57:48.979117,1559.0,python_petersburg_and_others
2023-02-11 10:57:49.926229,1290.0,python_petersburg
2023-02-11 11:03:48.838328,1559.0,python_petersburg_and_others
2023-02-11 11:03:49.823764,1290.0,python_petersburg
2023-02-11 12:00:40.183593,1556.0,python_petersburg_and_others
2023-02-11 12:00:41.109759,1287.0,python_petersburg
2023-02-12 12:00:41.127318,1527.0,python_petersburg_and_others
2023-02-12 12:00:42.238277,1266.0,python_petersburg
2023-02-13 12:00:42.824387,1544.0,python_petersburg_and_others
2023-02-13 12:00:45.109306,1282.0,python_petersburg
2023-02-14 12:00:41.498982,1547.0,python_petersburg_and_others
2023-02-14 12:00:42.587160,1318.0,python_petersburg
2023-02-15 12:00:41.255479,1541.0,python_petersburg_and_others
2023-02-15 12:00:42.483057,1316.0,python_petersburg
2023-02-16 12:00:40.688504,1546.0,python_petersburg_and_others
2023-02-16 12:00:41.781629,1317.0,python_petersburg
2023-02-17 12:00:41.107202,1537.0,python_petersburg_and_others
2023-02-17 12:00:42.092526,1310.0,python_petersburg
2023-02-18 12:00:40.992484,1511.0,python_petersburg_and_others
2023-02-18 12:00:41.971482,1294.0,python_petersburg
2023-02-19 12:00:39.873810,1481.0,python_petersburg_and_others
2023-02-19 12:00:40.948647,1267.0,python_petersburg
2023-02-20 12:00:40.738481,1478.0,python_petersburg_and_others
2023-02-20 12:00:42.243715,1276.0,python_petersburg
2023-02-21 12:00:40.621133,1503.0,python_petersburg_and_others
2023-02-21 12:00:42.617212,1295.0,python_petersburg
2023-02-22 12:00:40.291138,1505.0,python_petersburg_and_others
2023-02-22 12:00:41.709657,1292.0,python_petersburg
2023-02-23 12:00:41.238232,1492.0,python_petersburg_and_others
2023-02-23 12:00:42.365845,1283.0,python_petersburg
2023-02-24 12:00:41.382363,1467.0,python_petersburg_and_others
2023-02-24 12:00:42.325131,1261.0,python_petersburg
2023-02-25 12:00:41.469014,1444.0,python_petersburg_and_others
2023-02-25 12:00:42.659791,1241.0,python_petersburg
2023-02-26 12:00:40.708564,1408.0,python_petersburg_and_others
2023-02-26 12:00:41.733191,1213.0,python_petersburg
2023-02-28 09:49:21.178820,1446.0,python_petersburg_and_others
2023-02-28 09:49:22.445835,1246.0,python_petersburg
2023-02-28 10:05:29.813952,1448.0,python_petersburg_and_others
2023-02-28 10:05:31.239176,1246.0,python_petersburg
2023-02-28 10:29:31.595060,1449.0,python_petersburg_and_others
2023-02-28 10:29:32.793346,1247.0,python_petersburg
2023-03-02 08:50:01.024613,1466.0,python_petersburg_and_others
2023-03-02 08:50:02.944252,1259.0,python_petersburg
2023-03-02 08:52:26.738512,1466.0,python_petersburg_and_others
2023-03-02 08:52:27.776621,1259.0,python_petersburg
2023-03-02 09:54:51.317324,1466.0,python_petersburg_and_others
2023-03-02 09:54:52.540791,1259.0,python_petersburg
2023-03-02 09:57:19.983967,1466.0,python_petersburg_and_others
2023-03-02 09:57:21.024125,1259.0,python_petersburg
2023-03-02 10:12:23.829850,1465.0,python_petersburg_and_others
2023-03-02 10:12:25.303289,1258.0,python_petersburg
2023-03-02 12:00:52.231813,1463.0,python_petersburg_and_others
2023-03-02 12:00:53.901076,1255.0,python_petersburg
2023-03-03 12:00:52.158599,1479.0,python_petersburg_and_others
2023-03-03 12:00:53.496584,1273.0,python_petersburg
2023-03-04 12:00:52.302042,1478.0,python_petersburg_and_others
2023-03-04 12:00:53.356199,1277.0,python_petersburg
2023-03-05 12:00:52.367192,1453.0,python_petersburg_and_others
2023-03-05 12:00:53.290751,1252.0,python_petersburg
2023-03-06 12:00:52.559677,1459.0,python_petersburg_and_others
2023-03-06 12:00:53.899926,1259.0,python_petersburg
2023-03-07 12:00:51.947395,1474.0,python_petersburg_and_others
2023-03-07 12:00:52.983512,1271.0,python_petersburg
2023-03-08 12:00:52.265996,1474.0,python_petersburg_and_others
2023-03-08 12:00:53.317510,1271.0,python_petersburg
2023-03-09 12:00:52.707214,1474.0,python_petersburg_and_others
2023-03-09 12:00:53.902325,1268.0,python_petersburg
2023-03-10 12:00:52.920446,1477.0,python_petersburg_and_others
2023-03-10 12:00:53.961863,1269.0,python_petersburg
2023-03-11 12:00:52.085480,1465.0,python_petersburg_and_others
2023-03-11 12:00:53.038958,1257.0,python_petersburg
2023-03-12 12:00:52.848876,1440.0,python_petersburg_and_others
2023-03-12 12:00:53.894194,1235.0,python_petersburg
2023-03-13 12:00:53.438528,1458.0,python_petersburg_and_others
2023-03-13 12:00:56.095518,1256.0,python_petersburg
2023-03-14 12:00:52.515121,1496.0,python_petersburg_and_others
2023-03-14 12:00:54.437029,1290.0,python_petersburg
2023-03-15 12:00:53.316980,1496.0,python_petersburg_and_others
2023-03-15 12:00:55.281330,1289.0,python_petersburg
2023-03-16 12:00:52.980689,1468.0,python_petersburg_and_others
2023-03-16 12:00:54.294405,1273.0,python_petersburg
2023-03-17 12:00:53.527441,1442.0,python_petersburg_and_others
2023-03-17 12:00:54.552276,1277.0,python_petersburg
2023-03-18 12:00:52.478453,1424.0,python_petersburg_and_others
2023-03-18 12:00:53.577985,1265.0,python_petersburg
2023-03-19 12:00:52.040699,1395.0,python_petersburg_and_others
2023-03-19 12:00:53.066627,1237.0,python_petersburg
2023-03-20 12:00:52.259899,1442.0,python_petersburg_and_others
2023-03-20 12:00:53.638822,1254.0,python_petersburg
2023-03-21 12:00:52.067493,1488.0,python_petersburg_and_others
2023-03-21 12:00:53.335026,1289.0,python_petersburg
2023-03-22 12:00:52.115821,1491.0,python_petersburg_and_others
2023-03-22 12:00:53.246086,1290.0,python_petersburg
2023-03-23 12:00:52.211299,1485.0,python_petersburg_and_others
2023-03-23 12:00:53.280374,1286.0,python_petersburg
2023-03-24 12:00:52.161478,1500.0,python_petersburg_and_others
2023-03-24 12:00:54.214895,1302.0,python_petersburg
2023-03-25 12:00:52.116796,1493.0,python_petersburg_and_others
2023-03-25 12:00:53.177163,1294.0,python_petersburg
2023-03-26 12:00:52.859847,1485.0,python_petersburg_and_others
2023-03-26 12:00:53.946877,1287.0,python_petersburg
2023-03-27 12:00:52.234111,1533.0,python_petersburg_and_others
2023-03-27 12:00:53.595714,1306.0,python_petersburg
2023-03-28 12:00:52.506454,1557.0,python_petersburg_and_others
2023-03-28 12:00:53.630840,1327.0,python_petersburg
2023-03-29 12:00:52.321767,1562.0,python_petersburg_and_others
2023-03-29 12:00:53.446735,1333.0,python_petersburg
2023-03-30 12:00:51.969121,1560.0,python_petersburg_and_others
2023-03-30 12:00:53.335642,1343.0,python_petersburg
2023-03-31 12:00:52.635588,1556.0,python_petersburg_and_others
2023-03-31 12:00:53.710821,1336.0,python_petersburg
2023-04-01 12:00:51.814377,1543.0,python_petersburg_and_others
2023-04-01 12:00:52.862432,1325.0,python_petersburg
2023-04-02 12:00:51.839655,1524.0,python_petersburg_and_others
2023-04-02 12:00:52.814908,1311.0,python_petersburg
2023-04-03 12:00:53.049686,1532.0,python_petersburg_and_others
2023-04-03 12:00:54.769994,1315.0,python_petersburg
