dt,name,value
2023-03-03 12:00:54.270804,linkedin_python(engineer developer)_worldwide,231158
2023-03-03 12:00:55.370456,linkedin_python(engineer developer)_usa,118873
2023-03-03 12:00:56.539403,linkedin_python(engineer developer)_europe,48606
2023-03-04 12:00:53.975527,linkedin_python(engineer developer)_worldwide,227201
2023-03-04 12:00:55.040050,linkedin_python(engineer developer)_usa,119482
2023-03-04 12:00:55.993836,linkedin_python(engineer developer)_europe,49362
2023-03-05 12:00:53.935387,linkedin_python(engineer developer)_worldwide,228181
2023-03-05 12:00:54.809827,linkedin_python(engineer developer)_usa,122157
2023-03-05 12:00:55.798501,linkedin_python(engineer developer)_europe,49993
2023-03-06 12:00:54.750261,linkedin_python(engineer developer)_worldwide,225167
2023-03-06 12:00:55.840011,linkedin_python(engineer developer)_usa,119744
2023-03-06 12:00:57.088063,linkedin_python(engineer developer)_europe,50176
2023-03-07 12:00:54.303877,linkedin_python(engineer developer)_worldwide,224934
2023-03-07 12:00:55.599484,linkedin_python(engineer developer)_usa,115839
2023-03-07 12:00:56.892041,linkedin_python(engineer developer)_europe,47824
2023-03-08 12:00:54.107178,linkedin_python(engineer developer)_worldwide,230823
2023-03-08 12:00:55.252341,linkedin_python(engineer developer)_usa,123791
2023-03-08 12:00:56.430925,linkedin_python(engineer developer)_europe,49204
2023-03-09 12:00:54.665358,linkedin_python(engineer developer)_worldwide,199419
2023-03-09 12:00:55.693661,linkedin_python(engineer developer)_usa,106230
2023-03-09 12:00:57.073890,linkedin_python(engineer developer)_europe,42444
2023-03-10 12:00:54.664358,linkedin_python(engineer developer)_worldwide,189874
2023-03-10 12:00:55.834986,linkedin_python(engineer developer)_usa,102799
2023-03-10 12:00:57.007548,linkedin_python(engineer developer)_europe,42031
2023-03-11 12:00:53.642826,linkedin_python(engineer developer)_worldwide,191491
2023-03-11 12:00:54.902390,linkedin_python(engineer developer)_usa,105252
2023-03-11 12:00:55.963270,linkedin_python(engineer developer)_europe,42497
2023-03-12 12:00:54.695458,linkedin_python(engineer developer)_worldwide,192149
2023-03-12 12:00:55.751981,linkedin_python(engineer developer)_usa,108142
2023-03-12 12:00:56.765196,linkedin_python(engineer developer)_europe,41916
2023-03-13 12:00:57.012665,linkedin_python(engineer developer)_worldwide,193847
2023-03-13 12:00:58.166117,linkedin_python(engineer developer)_usa,108890
2023-03-13 12:01:00.197460,linkedin_python(engineer developer)_europe,42254
2023-03-14 12:00:55.255350,linkedin_python(engineer developer)_worldwide,189775
2023-03-14 12:00:56.469584,linkedin_python(engineer developer)_usa,105677
2023-03-14 12:00:57.711290,linkedin_python(engineer developer)_europe,41031
