dt,name,value
2023-04-06 20:05:13.044424,bazaraki_apartments_all,702
2023-04-06 20:05:14.163999,bazaraki_houses_all,834
2023-04-06 20:05:15.649111,bazaraki_apartments_0_1_2_rooms_1500_max,665
2023-04-06 20:13:51.685924,bazaraki_apartments_all,702
2023-04-06 20:13:52.953903,bazaraki_houses_all,424
2023-04-06 20:13:54.055763,bazaraki_apartments_0_1_2_rooms_1500_max,50
2023-04-06 20:17:52.303178,bazaraki_apartments_all,702
2023-04-06 20:17:53.367780,bazaraki_houses_all,424
2023-04-06 20:17:54.396899,bazaraki_apartments_0_1_2_rooms_1500_max,114
